Cas9_type,Score
SaCas9,3.0
SaCas9,3.0
SaCas9,2.0
SaCas9,2.0
SaCas9,1.0
SaCas9,1.0
SaCas9,1.0
SaCas9,1.0
SaCas9,447.0
SaCas9,201.0
SaCas9,118.0
SaCas9,68.0
SaCas9,49.0
SaCas9,37.0
SaCas9,17.0
SaCas9,10.0
SaCas9,8.0
SaCas9,3.0
SaCas9,3.0
SaCas9,2.0
SaCas9,2.0
SaCas9,190.0
SaCas9,583.0
SaCas9,163.0
SaCas9,68.0
SaCas9,48.0
SaCas9,39.0
SaCas9,38.0
SaCas9,37.0
SaCas9,31.0
SaCas9,26.0
SaCas9,16.0
SaCas9,8.0
SaCas9,4.0
SaCas9,236.0
SaCas9,253.0
SaCas9,148.0
SaCas9,96.0
SaCas9,48.0
SaCas9,38.0
SaCas9,31.0
SaCas9,19.0
SaCas9,8.0
SaCas9,5.0
SpCas9,1502.0
SpCas9,536.0
SpCas9,527.0
SpCas9,454.0
SpCas9,29.0
SpCas9,9.0
SpCas9,4.0
Nme2Cas9,941.0
Nme2Cas9,275.0
Nme2Cas9,21.0
Nme2Cas9,9.0
Nme2Cas9,6.0
Nme2Cas9,3.0
eNme2-C,47748.0
eNme2-C,1131.0
eNme2-C,374.0
eNme2-C,12.0
eNme2-C,7.0
eNme2-C,6.0
eNme2-C,3.0
eNme2-C,2.0
eNme2-C,2.0
eNme2-C.NR,747905.0
eNme2-C.NR,6501.0
eNme2-C.NR,189.0
eNme2-C.NR,90.0
eNme2-C.NR,4.0
eNme2-C.NR,3.0
SpRY,28749.0
SpRY,85562.0
SpRY,42403.0
SpRY,36667.0
SpRY,15529.0
SpRY,13552.0
SpRY,12015.0
SpRY,10794.0
SpRY,9358.0
SpRY,9354.0
SpRY,8585.0
SpRY,6472.0
SpRY,6141.0
SpRY,6098.0
SpRY,5051.0
SpRY,4641.0
SpRY,4159.0
SpRY,2986.0
SpRY,2850.0
SpRY,2637.0
SpRY,2617.0
SpRY,2417.0
SpRY,2203.0
SpRY,1991.0
SpRY,1845.0
SpRY,1803.0
SpRY,1760.0
SpRY,1679.0
SpRY,1648.0
SpRY,1550.0
SpRY,1538.0
SpRY,1405.0
SpRY,1382.0
SpRY,1308.0
SpRY,1202.0
SpRY,1135.0
SpRY,1112.0
SpRY,1089.0
SpRY,1077.0
SpRY,1037.0
SpRY,1009.0
SpRY,945.0
SpRY,851.0
SpRY,836.0
SpRY,815.0
SpRY,802.0
SpRY,802.0
SpRY,795.0
SpRY,772.0
SpRY,756.0
SpRY,743.0
SpRY,731.0
SpRY,704.0
SpRY,622.0
SpRY,620.0
SpRY,617.0
SpRY,587.0
SpRY,584.0
SpRY,564.0
SpRY,521.0
SpRY,508.0
SpRY,500.0
SpRY,468.0
SpRY,465.0
SpRY,457.0
SpRY,444.0
SpRY,442.0
SpRY,437.0
SpRY,433.0
SpRY,402.0
SpRY,401.0
SpRY,375.0
SpRY,369.0
SpRY,356.0
SpRY,350.0
SpRY,341.0
SpRY,327.0
SpRY,326.0
SpRY,307.0
SpRY,303.0
